match_id,A,B
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,An Se Young,Pornpawee Chochuwong
An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,An Se Young,Ratchanok Intanon
Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,Anders Antonsen,Jonatan Christie
Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,Anders Antonsen,Sameer Verma
Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,Anders Antonsen,Viktor Axelsen
Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,Anthony Sinisuka Ginting,Anders Antonsen
Anthony_Sinisuka_GINTING_Viktor_AXELSEN _Indonesia_Masters_2020_SemiFinals,Anthony Sinisuka Ginting,Viktor Axelsen
Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,Anthony Sinisuka Ginting,Lee Zii Jia
Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,Anthony Sinisuka Ginting,Rasmus Gemke
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,Chen Long,Chou Tien Chen
CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,Chen Long,Chou Tien Chen
CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,Chou Tien Chen,Anders Antonsen
CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,Chou Tien Chen,Jonatan Christie
CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,Chou Tien Chen,Jonatan Christie
CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,Chou Tien Chen,Ng Ka Long Angus
Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,Carolina Marin,An Se Young
Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,Carolina Marin,An Se Young
Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,Carolina Marin,Neslihan Yigit
