,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-29862.1,0.0280078,1.21738,0.997049,-29864.5,-29861.8,-29860.8,1953.42,2428.64,3.63001,1.00156
v_easy,0.303973,0.000263945,0.0129209,0.0128114,0.282203,0.303836,0.325314,2430.93,2733.58,4.51736,1.00109
v_hard,0.286643,0.000211849,0.0106345,0.0107821,0.269091,0.286733,0.303918,2568.63,3013.12,4.77325,1.00026
beta_logit,-0.192332,0.000213887,0.0101747,0.010079,-0.209256,-0.192152,-0.176001,2296.67,2444.91,4.26787,1.00151
beta,0.452066,5.29776e-05,0.00252021,0.00249677,0.447876,0.452109,0.456113,2296.67,2444.91,4.26786,1.00152
v_diff,0.0173301,0.000257577,0.0150643,0.0150079,-0.00715714,0.0172726,0.0423527,3422.73,2964.81,6.3604,1.0002
p_v_easy_gt_v_hard,0.87475,,0.331044,0.0,0.0,1.0,1.0,3360.61,3360.61,6.24497,0.999651
log_lik[1],-4.02249,4.83296e-05,0.00245233,0.00248869,-4.02671,-4.02237,-4.01869,2656.76,2947.26,4.937,1.00022
log_lik[2],-2.08499,0.000258031,0.0126242,0.0124974,-2.10596,-2.08477,-2.06385,2427.3,2733.58,4.51062,1.0011
log_lik[3],-2.29207,0.00021064,0.0105501,0.0106604,-2.30934,-2.29215,-2.27473,2553.14,3013.66,4.74446,1.00027
log_lik[4],-1.56583,0.000113999,0.00577855,0.00586376,-1.57546,-1.56573,-1.55652,2625.21,2989.05,4.87839,1.00024
log_lik[5],-1.09967,0.000211301,0.0105881,0.0103823,-1.11716,-1.09954,-1.08208,2546.51,2774.73,4.73213,1.0011
log_lik[6],-1.92895,0.000126156,0.00620412,0.00612284,-1.93949,-1.92893,-1.91891,2455.1,2733.43,4.56227,1.00107
log_lik[7],-1.04871,0.000124961,0.00641212,0.00651254,-1.05931,-1.04863,-1.0384,2687.1,2970.78,4.99339,1.0003
log_lik[8],-3.9311,0.000255456,0.0127964,0.0129338,-3.95209,-3.93115,-3.91012,2552.18,3013.66,4.74268,1.00027
log_lik[9],-2.23515,9.65901e-05,0.0048835,0.00494692,-2.24331,-2.23503,-2.22729,2615.71,2989.05,4.86072,1.00025
log_lik[10],-0.698291,0.00017553,0.00941556,0.00920324,-0.713855,-0.698121,-0.682759,2918.26,3203.95,5.42296,1.00112
log_lik[11],-1.33359,0.000146015,0.00720728,0.0071365,-1.3458,-1.33361,-1.32179,2472.36,2743.33,4.59435,1.00107
log_lik[12],-1.86307,0.000106438,0.00538515,0.00546687,-1.87205,-1.86296,-1.85439,2617.36,2989.05,4.86379,1.00025
log_lik[13],-1.02128,0.000205654,0.0103794,0.010142,-1.03842,-1.0212,-1.00409,2584.03,2838.09,4.80186,1.00131
log_lik[14],-1.33359,0.000146015,0.00720728,0.0071365,-1.3458,-1.33361,-1.32179,2472.36,2743.33,4.59435,1.00107
log_lik[15],-1.93518,0.000252267,0.0123503,0.0122323,-1.95566,-1.93498,-1.91447,2429.99,2733.58,4.51561,1.00109
log_lik[16],-1.03815,0.000154155,0.00765916,0.0075391,-1.05104,-1.03818,-1.02561,2503.57,2754.0,4.65235,1.00119
log_lik[17],-0.675896,0.000158977,0.00808663,0.00788037,-0.689379,-0.675917,-0.66263,2623.96,2914.51,4.87606,1.00132
log_lik[18],-1.93518,0.000252267,0.0123503,0.0122323,-1.95566,-1.93498,-1.91447,2429.99,2733.58,4.51561,1.00109
log_lik[19],-3.40973,0.000241304,0.0120845,0.0122055,-3.42955,-3.40978,-3.38991,2551.54,3013.66,4.74148,1.00027
log_lik[20],-1.34347,0.00011924,0.006063,0.00615405,-1.35353,-1.34339,-1.33368,2642.34,2943.02,4.91021,1.00022
log_lik[21],-2.22733,0.000115661,0.00568648,0.00561112,-2.23702,-2.22729,-2.21815,2453.95,2733.54,4.56014,1.00107
log_lik[22],-1.55906,0.000236569,0.0116286,0.0115157,-1.57832,-1.55887,-1.53957,2449.23,2733.43,4.55137,1.00108
log_lik[23],-3.50114,6.24213e-05,0.0031613,0.00320761,-3.50651,-3.50102,-3.49615,2637.82,2943.09,4.90181,1.00022
